Industry Name,Number of Firms,Capital Expenditures(US $ millions),Depreciation(US $ millions),Cap Ex/Deprecn,Acquisitions(US $ millions),Net R&D(US $ millions),Net Cap Ex/Sales,Net Cap Ex/ EBIT (1-t),Sales/Capital
Advertising,48,$582.51,$825.37,70.58%,$580.85,$0.76,1.12%,13.63%,5.78
Aerospace/Defense,85,"$10,725.53","$10,952.94",97.92%,"$22,898.04",$137.08,5.65%,61.85%,3.72
Air Transport,18,"$19,791.43","$9,491.23",208.52%,$14.10,$11.60,5.78%,66.18%,1.40
Apparel,50,"$1,692.04","$1,699.89",99.54%,"$1,105.95",$0.01,1.70%,22.65%,1.62
Auto & Truck,14,"$37,127.24","$22,605.93",164.24%,$135.10,$688.61,4.52%,157.99%,0.90
Auto Parts,52,"$3,796.19","$1,522.89",249.27%,$634.78,$270.45,3.67%,54.82%,2.50
Bank (Money Center),10,"$3,545.09",$0.00,NA,$307.00,$0.00,1.07%,NA,0.14
Banks (Regional),633,"$7,086.31",$0.00,NA,-$97.31,$0.00,3.94%,NA,0.27
Beverage (Alcoholic),31,"$1,761.95",$703.46,250.47%,$38.50,$0.03,4.58%,21.97%,0.83
Beverage (Soft),37,"$4,791.93","$3,829.68",125.13%,"$3,995.50",-$11.34,4.46%,38.96%,1.30
Broadcasting,24,"$1,228.91","$3,234.86",37.99%,"$9,596.94",$3.49,15.33%,80.28%,1.23
Brokerage & Investment Banking,38,"$10,101.62","$2,402.32",420.49%,"$1,403.07",$2.72,5.90%,2504.90%,0.19
Building Materials,42,"$2,334.65","$1,673.83",139.48%,"$4,972.58",$12.32,7.64%,110.14%,2.49
Business & Consumer Services,168,"$3,993.55","$6,344.01",62.95%,"$5,711.42",$36.47,2.63%,29.06%,2.47
Cable TV,14,"$22,279.96","$26,451.59",84.23%,$68.16,$4.03,-2.37%,-13.13%,0.79
Chemical (Basic),39,"$1,934.60","$1,249.30",154.85%,$531.10,$13.10,3.54%,32.68%,1.61
