,,Gross Income Based,Net Income Based,Operating Income Based,,,,,,,EBITDA Based,Expense Ratios,,,,,,
Industry Name,Number of firms,Gross Margin,Net Margin,"Pre-tax, Pre-stock compensation Operating Margin",Pre-tax Unadjusted Operating Margin,After-tax Unadjusted Operating Margin,Pre-tax Lease adjusted Margin,After-tax Lease Adjusted Margin,Pre-tax Lease & R&D adj Margin,After-tax Lease & R&D adj Margin,EBITDA/Sales,EBITDASG&A/Sales,EBITDAR&D/Sales,COGS/Sales,R&D/Sales,SG&A/ Sales,Stock-Based Compensation/Sales,Lease Expense/Sales
Advertising,48,0.2854,0.031,0.1297,0.1162,0.1096,0.1186,0.1118,0.1186,0.1119,0.1443,0.2823,0.1487,0.7146,0.0044,0.138,0.0135,0.0591
Aerospace/Defense,85,0.2072,0.0792,0.1237,0.1194,0.1058,0.1203,0.1066,0.1207,0.1069,0.1367,0.206,0.1708,0.7928,0.0341,0.0693,0.0043,0.0064
Air Transport,18,0.2979,0.0786,0.1098,0.1071,0.1002,0.104,0.0972,0.104,0.0973,0.1732,0.2104,0.1743,0.7021,0.0011,0.0372,0.0027,0.0515
Apparel,50,0.5009,0.0452,0.1089,0.1009,0.0866,0.1026,0.088,0.1026,0.088,0.1231,0.5163,0.1249,0.4991,0.0019,0.3932,0.008,0.0409
Auto & Truck,14,0.1145,0.0182,0.0467,0.0421,0.0378,0.0426,0.0383,0.0446,0.0403,0.1164,0.1844,0.1663,0.8855,0.0499,0.068,0.0046,0.003
Auto Parts,52,0.1673,0.0492,0.093,0.0888,0.0785,0.0899,0.0795,0.0931,0.0826,0.1132,0.1783,0.1456,0.8327,0.0324,0.0651,0.0043,0.0069
Bank (Money Center),10,1,0.2146,0.0239,0,0,-0.0006,-0.0004,-0.0006,-0.0004,0,0.5089,0,0,0,0.5089,0.0239,0.0284
Banks (Regional),633,0.9981,0.2899,0.0145,0,0,-0.0007,-0.0005,-0.0007,-0.0005,0,0.4915,0,0.0019,0,0.4915,0.0145,0.0264
Beverage (Alcoholic),31,0.4782,0.2435,0.2302,0.2239,0.2181,0.2241,0.2184,0.2241,0.2184,0.2831,0.5288,0.2831,0.5218,0,0.2457,0.0064,0.0067
Beverage (Soft),37,0.5595,0.0876,0.2134,0.2076,0.1996,0.2091,0.201,0.209,0.2009,0.2389,0.5835,0.2461,0.4405,0.0072,0.3446,0.0058,0.0073
Broadcasting,24,0.494,0.0959,0.2143,0.2042,0.199,0.2084,0.2031,0.2085,0.2032,0.2434,0.4566,0.2436,0.506,0.0002,0.2132,0.01,0.0349
Brokerage & Investment Banking,38,0.7164,0.1423,0.0344,0.0041,0.0032,0.003,0.0023,0.003,0.0023,0.004,0.4126,0.0045,0.2836,0.0005,0.4086,0.0304,0.0264
Building Materials,42,0.2662,0.0523,0.0991,0.0937,0.0786,0.0963,0.0808,0.0965,0.081,0.119,0.2779,0.127,0.7338,0.008,0.1589,0.0055,0.0099
Business & Consumer Services,168,0.3544,0.0647,0.1146,0.1056,0.0976,0.1091,0.1008,0.1093,0.1011,0.1496,0.3534,0.1526,0.6456,0.003,0.2039,0.0089,0.0173
Cable TV,14,0.6138,0.2544,0.193,0.1841,0.1775,0.1839,0.1773,0.1839,0.1773,0.3242,0.5837,0.325,0.3862,0.0009,0.2596,0.0089,0.0114
Chemical (Basic),39,0.2125,0.093,0.1314,0.1273,0.118,0.128,0.1186,0.1284,0.119,0.1626,0.2387,0.1689,0.7875,0.0063,0.0761,0.0041,0.0133
Chemical (Diversified),6,0.2599,0.0497,0.1428,0.1359,0.1316,0.1365,0.1322,0.1445,0.1402,0.1425,0.2184,0.1737,0.7401,0.0312,0.0759,0.0069,0.01
Chemical (Specialty),89,0.3443,0.0829,0.1426,0.1365,0.1219,0.1392,0.1243,0.1403,0.1254,0.1737,0.3558,0.1932,0.6557,0.0195,0.1821,0.0062,0.0149
Coal & Related Energy,23,0.2338,0.075,0.0876,0.0799,0.0785,0.0861,0.0846,0.0857,0.0842,0.1872,0.2367,0.1886,0.7662,0.0014,0.0495,0.0077,0.0233
Computer Services,119,0.247,0.0403,0.0888,0.0835,0.0762,0.0865,0.0789,0.0862,0.0786,0.1076,0.2442,0.1265,0.753,0.0189,0.1366,0.0053,0.0132
Computers/Peripherals,57,0.3347,0.1274,0.1793,0.1634,0.1527,0.1635,0.1527,0.1687,0.1579,0.2117,0.3255,0.2662,0.6653,0.0546,0.1138,0.0159,0.0059
Construction Supplies,48,0.2282,0.0747,0.1218,0.1179,0.1023,0.1189,0.1032,0.1204,0.1047,0.133,0.2184,0.1577,0.7718,0.0247,0.0854,0.0039,0.0068
Diversified,23,0.2062,0.087,0.1316,0.1293,0.1197,0.1297,0.1201,0.1298,0.1202,0.1307,0.203,0.1534,0.7938,0.0226,0.0722,0.0023,0.0093
Drugs (Biotechnology),481,0.7071,-0.0161,0.2545,0.1931,0.1913,0.192,0.1902,0.2271,0.2253,0.2869,0.5717,0.6461,0.2929,0.3592,0.2848,0.0614,0.0093
Drugs (Pharmaceutical),237,0.686,0.1094,0.2489,0.233,0.2278,0.2336,0.2283,0.2435,0.2382,0.2977,0.5623,0.4905,0.314,0.1928,0.2646,0.0159,0.0065
Education,35,0.4058,0.0681,0.1044,0.0921,0.0864,0.0945,0.0887,0.0954,0.0896,0.1324,0.424,0.1425,0.5942,0.0101,0.2916,0.0123,0.035
Electrical Equipment,116,0.3518,0.0831,0.1436,0.1325,0.1267,0.1351,0.1292,0.1382,0.1323,0.1474,0.3503,0.1744,0.6482,0.027,0.203,0.0111,0.0123
Electronics (Consumer & Office),19,0.341,-0.0407,0.0059,-0.0223,-0.0206,-0.0194,-0.0179,-0.0208,-0.0194,0.0044,0.2534,0.1218,0.659,0.1174,0.249,0.0282,0.011
Electronics (General),160,0.2885,0.023,0.1056,0.0952,0.0841,0.0969,0.0856,0.1023,0.091,0.1352,0.2704,0.1896,0.7115,0.0545,0.1353,0.0104,0.0086
Engineering/Construction,52,0.1215,0.0218,0.045,0.0406,0.0375,0.0433,0.04,0.0433,0.04,0.0566,0.1331,0.0568,0.8785,0.0002,0.0765,0.0044,0.0176
Entertainment,120,0.4247,0.1343,0.1924,0.1796,0.1762,0.1778,0.1743,0.1795,0.1761,0.2155,0.3948,0.2425,0.5753,0.027,0.1793,0.0128,0.0196
